Session,TimeStep,TimeFocused,TimeDiverted,TimeDistracted,NumDiverted,NumDistracted,NumNotifs,AvgFriendsPerMin,FirstDistraction,FirstDiversion,Type
8626466,0,630,46,224,5,4,7,2.956338432650538,social,none,A
8626466,1,732,89,79,5,0,9,1.2440039941313843,none,timer,A
8626466,2,644,173,83,0,5,8,2.128254113992938,game,timer,A
8626466,3,790,52,58,0,0,15,2.1927664088208494,video,none,A
8626466,4,815,85,0,0,0,15,1.0621829636596978,none,none,A
8626466,5,842,25,33,0,0,4,1.3503795211104128,none,none,A
8626466,6,824,41,35,0,0,13,0.0,game,none,A
8626466,7,702,29,169,0,0,15,0.0,none,none,A
8626466,8,900,0,0,0,0,14,0.10902648974950502,none,none,A
8626466,9,770,0,130,0,0,4,1.3745588891791942,none,none,A
8626466,10,738,0,162,0,0,3,0.2863195948240771,game,none,A
8626466,11,882,0,18,0,5,1,0.7218223290464274,none,none,A
8626466,12,847,22,31,0,0,11,1.4421283479632359,none,customizations,A
8626466,13,833,13,54,0,0,6,1.407862269062817,none,none,A
8626466,14,779,0,121,0,0,12,1.7180783260846413,none,none,A
14315572,0,848,0,52,0,0,9,2.044929248219864,social,none,A
14315572,1,729,37,134,0,0,18,1.0899567268894266,game,friends,A
14315572,2,685,40,175,0,0,10,0.5787239966212541,none,timer,A
14315572,3,804,26,70,0,0,12,2.9666754693543376,none,none,A
14315572,4,838,0,62,0,0,6,1.4075565354330648,game,none,A
16264085,0,655,80,165,0,4,11,1.8911528154757393,social,friends,A
16264085,1,804,96,0,0,0,10,2.1548367827758654,game,friends,A
16264085,2,804,75,21,0,0,14,0.3848887030169357,none,none,A
16264085,3,900,0,0,0,0,13,1.1492983490980357,none,none,A
16264085,4,900,0,0,0,0,16,0.4256593338268906,none,none,A
16264085,5,777,0,123,0,0,13,1.7253790952261139,none,none,A
16264085,6,900,0,0,0,3,6,0.021808302670723423,none,none,A
16264085,7,789,0,111,0,0,7,0.08040575474783873,none,none,A
2909746,0,649,48,203,1,0,14,1.5759831498180814,none,timer,A
2909746,1,732,85,83,0,0,7,2.957019181149705,none,none,A
5213934,0,681,0,219,0,1,14,2.4916755348689543,none,none,A
5213934,1,710,89,101,0,1,6,1.9849782268484566,none,none,A
5213934,2,764,55,81,3,0,3,0.8348320086619219,none,none,A
5213934,3,723,81,96,0,0,14,1.6248163418083545,none,none,A
5213934,4,892,8,0,0,0,14,0.2594925890323665,none,none,A
5213934,5,900,0,0,0,0,1,1.223268868785601,none,none,A
5213934,6,741,77,82,1,0,10,1.7890305448000159,none,none,A
5213934,7,692,85,123,0,1,7,2.0193446515244804,none,timer,A
5213934,8,698,40,162,0,0,8,0.4711629762906706,none,timer,A
5213934,9,804,96,0,0,0,16,2.244443018355584,none,timer,A
5213934,10,660,92,148,5,0,19,1.8691312478079236,none,none,A
5213934,11,734,0,166,0,0,15,3.151574430919914,none,none,A
5213934,12,900,0,0,0,0,12,2.116410296497186,none,none,A
5213934,13,735,0,165,0,0,15,1.3238275290952957,none,none,A
5213934,14,742,74,84,0,0,6,0.3661026295608232,none,timer,A
5213934,15,898,0,2,0,0,1,0.0,game,none,A
15904415,0,795,105,0,1,0,13,0.6621949648095604,video,friends,A
15904415,1,684,0,216,0,0,11,0.6972394666931718,none,none,A
15904415,2,708,57,135,0,3,8,1.1327113518063192,none,timer,A
15904415,3,806,12,82,0,0,9,1.0122828922810476,none,none,A
15904415,4,804,45,51,0,0,7,0.9108151742128772,none,none,A
15904415,5,730,50,120,0,0,10,1.1895225715240394,game,none,A
775517,0,575,0,325,0,0,9,1.3474173603467294,none,none,A
775517,1,847,53,0,0,4,21,1.2899706748306419,game,none,A
775517,2,859,41,0,0,0,4,0.0,none,none,A
775517,3,817,0,83,0,1,6,0.9361479801342654,game,none,A
775517,4,688,106,106,0,0,3,0.9304624376057835,none,none,A
775517,5,833,19,48,0,0,11,1.0629886596682052,none,none,A
775517,6,716,90,94,0,0,6,1.5373327920709419,none,none,A
8797273,0,731,54,115,5,0,13,1.4281331066980294,none,timer,A
8797273,1,696,50,154,0,0,10,0.9519410868028401,none,timer,A
8797273,2,700,21,179,0,1,9,1.4878728375226071,none,none,A
8797273,3,839,30,31,0,0,5,0.43170731030315657,none,none,A
8797273,4,759,75,66,0,2,19,0.928780730300754,none,none,A
8797273,5,784,9,107,0,0,9,2.5435355587303317,none,none,A
8797273,6,900,0,0,0,1,6,1.8911528154757393,game,none,A
8797273,7,758,35,107,0,0,11,0.445419308490292,none,none,A
8797273,8,692,0,208,0,0,16,0.0,none,none,A
8797273,9,837,63,0,0,4,5,0.9162391886787045,none,friends,A
8797273,10,822,0,78,0,0,8,1.3408062583714695,none,none,A
8797273,11,704,58,138,0,2,12,1.5154032977919059,none,timer,A
8797273,12,868,32,0,0,0,2,1.594124386412626,none,none,A
8797273,13,900,0,0,0,0,14,1.5247403666528472,social,none,A
8797273,14,832,47,21,0,0,17,0.2676517475630096,none,none,A
8797273,15,884,16,0,0,0,13,1.1656471705857403,none,none,A
1149667,0,722,84,94,0,0,9,0.8831727351240004,none,none,A
1149667,1,757,65,78,0,0,11,1.049172998133665,none,none,A
16642510,0,555,345,0,0,0,5,3.512964937744967,none,timer,A
11821547,0,782,0,118,0,0,10,4.0,video,none,A
11821547,1,707,38,155,0,0,6,2.117504836679011,none,none,A
11821547,2,611,140,149,0,0,6,1.9697328426669487,none,none,A
11821547,3,780,93,27,0,0,18,0.9811442495394261,none,timer,A
11821547,4,576,30,294,0,0,19,1.964811138731345,game,none,A
11821547,5,792,108,0,0,0,16,0.8871011709883678,game,timer,A
11821547,6,849,51,0,0,0,6,0.7695323721837719,none,timer,A
11821547,7,732,5,163,4,0,8,1.4613350205869982,none,none,A
11821547,8,822,69,9,0,0,16,1.7121514625217398,game,none,A
11821547,9,715,54,131,0,0,13,0.23532033004601316,none,none,A
11821547,10,678,26,196,0,0,7,1.914589952253689,game,timer,A
11821547,11,644,83,173,0,0,12,0.5578834414287959,game,none,A
11821547,12,890,0,10,0,0,8,2.1013424885776604,none,none,A
11821547,13,778,30,92,2,0,15,2.111135745103739,none,none,A
11821547,14,749,32,119,0,0,8,0.7733933363930952,game,timer,A
11821547,15,717,53,130,0,0,8,2.325029120894606,none,timer,A
14905654,0,710,0,190,0,2,12,1.8122143289601034,none,none,A
14905654,1,658,136,106,0,2,15,1.851890602700963,social,progress,A
14905654,2,701,35,164,0,0,17,3.0848642663173518,none,none,A
6605875,0,704,196,0,0,0,13,2.895304245629191,none,none,A
6605875,1,827,0,73,0,0,4,2.7903305004489214,game,none,A
6605875,2,676,63,161,0,0,13,1.561945447942373,none,none,A
6605875,3,703,25,172,0,0,5,1.7617439045153238,none,none,A
6605875,4,828,0,72,0,0,14,1.6115239302831894,none,none,A
6605875,5,742,0,158,0,0,4,0.0,none,none,A
6605875,6,815,0,85,0,0,9,1.0862633646840119,none,none,A
6605875,7,758,0,142,0,0,4,0.9719174360841409,none,none,A
6605875,8,716,40,144,0,0,6,0.3103108953486269,none,none,A
6605875,9,826,74,0,0,0,11,1.4901094841105016,none,none,A
6605875,10,668,89,143,0,0,13,0.0,none,none,A
6605875,11,825,26,49,0,0,12,0.29183365766732594,social,none,A
6605875,12,871,0,29,0,0,7,2.8769035275260246,game,none,A
6605875,13,722,57,121,0,0,9,1.2101542489491584,none,none,A
6605875,14,748,70,82,0,0,9,0.5942159367069695,social,none,A
6605875,15,843,46,11,0,0,17,1.5881121061472183,none,none,A
7491238,0,611,142,147,0,0,5,0.8766762401745496,game,none,A
7491238,1,757,0,143,0,1,16,1.5948191591925822,none,none,A
7491238,2,744,104,52,0,0,11,1.041053908976707,none,friends,A
7491238,3,846,54,0,0,0,4,0.8717769190772571,none,none,A
7491238,4,824,0,76,0,0,6,0.6060423477221097,none,none,A
7491238,5,749,70,81,0,0,12,1.3192957260168572,game,none,A
7491238,6,873,27,0,0,0,9,1.597850170342447,game,none,A
7491238,7,752,13,135,0,0,9,0.7065153974452323,none,none,A
7491238,8,806,48,46,0,0,11,0.0918921361961802,none,none,A
7491238,9,833,67,0,0,0,11,1.470486908622027,none,none,A
7491238,10,871,29,0,0,0,15,1.420304843640399,none,none,A
7491238,11,816,9,75,0,0,9,0.21062398088599754,none,none,A
7491238,12,711,25,164,0,2,4,1.092864815541309,none,none,A
7491238,13,839,61,0,1,0,6,0.13737768281377982,none,none,A
7491238,14,739,24,137,0,0,3,2.4479595896664033,none,customizations,A
7491238,15,722,39,139,0,0,7,0.9906178558683332,none,timer,A
13154645,0,609,0,291,0,0,11,1.7782724349897385,none,none,A
13154645,1,693,42,165,0,0,16,1.537240589426118,none,none,A
13154645,2,725,52,123,1,0,13,2.1231303182323127,none,none,A
13154645,3,857,0,43,0,0,16,1.8911528154757393,none,none,A
13154645,4,900,0,0,0,0,16,1.4160147062791646,none,none,A
15357227,0,671,61,168,0,0,19,2.269511495666695,none,none,A
14114574,0,624,0,276,0,1,21,1.0440959068903242,none,none,A
14114574,1,740,28,132,0,0,19,1.8115395800956526,none,none,A
14114574,2,661,118,121,0,0,1,1.0383863227376313,game,timer,A
14114574,3,873,0,27,0,0,11,1.3969172550127051,none,none,A
14114574,4,785,51,64,0,0,5,2.3576664874680953,none,none,A
14114574,5,807,0,93,0,0,14,1.566987855480535,none,none,A
14114574,6,789,47,64,0,2,9,0.6798806384765141,none,none,A
14114574,7,879,0,21,0,0,3,1.0440112872667568,none,none,A
14114574,8,692,8,200,0,0,12,0.9846160668851753,none,none,A
14114574,9,862,38,0,0,0,17,0.5791223637493106,none,timer,A
1476570,0,753,80,67,0,1,11,1.9256178625134461,game,timer,A
1476570,1,831,56,13,0,0,3,2.0186697195473005,none,customizations,A
1476570,2,856,44,0,0,0,7,2.5973579047685784,game,none,A
1476570,3,674,3,223,0,0,7,0.0,none,none,A
13633869,0,548,147,205,3,0,20,0.3286002809124362,none,none,A
13633869,1,727,148,25,0,0,12,0.6272175898982086,none,none,A
13633869,2,848,52,0,3,0,7,0.672604298727385,none,none,A
13633869,3,781,0,119,0,0,6,1.68772478455516,none,none,A
13633869,4,651,57,192,0,1,4,1.0106025637071556,none,timer,A
13633869,5,729,11,160,0,0,21,1.5468442704207837,none,timer,A
