mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__bins,param_estimator__criterion,param_estimator__max_depth,param_estimator__max_features,param_estimator__max_leaf_nodes,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__min_subsequence_size,param_estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
31.8698762178421,5.499068952428709,1.1837846517562867,0.2555696161840267,7,gini,11,sqrt,33,3,10,0.15851572971388028,710,"OrderedDict([('estimator__bins', 7), ('estimator__criterion', 'gini'), ('estimator__max_depth', 11), ('estimator__max_features', 'sqrt'), ('estimator__max_leaf_nodes', 33), ('estimator__min_samples_leaf', 3), ('estimator__min_samples_split', 10), ('estimator__min_subsequence_size', 0.15851572971388028), ('estimator__n_estimators', 710)])",0.7,0.75,0.7,0.7,0.5,0.65,0.575,0.65,0.75,0.65,0.6625,0.07352720584926371,6
37.67896976470947,5.614252937212472,0.868043065071106,0.24277962677872036,7,gini,21,,8,5,5,0.30557327047930644,585,"OrderedDict([('estimator__bins', 7), ('estimator__criterion', 'gini'), ('estimator__max_depth', 21), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 8), ('estimator__min_samples_leaf', 5), ('estimator__min_samples_split', 5), ('estimator__min_subsequence_size', 0.30557327047930644), ('estimator__n_estimators', 585)])",0.625,0.575,0.75,0.7,0.5,0.575,0.45,0.625,0.625,0.55,0.5974999999999999,0.0840014880820572,10
27.081795597076415,4.053691888419253,1.0432567596435547,0.20533308502742756,7,gini,11,sqrt,44,4,7,0.43500012714778535,574,"OrderedDict([('estimator__bins', 7), ('estimator__criterion', 'gini'), ('estimator__max_depth', 11), ('estimator__max_features', 'sqrt'), ('estimator__max_leaf_nodes', 44), ('estimator__min_samples_leaf', 4), ('estimator__min_samples_split', 7), ('estimator__min_subsequence_size', 0.43500012714778535), ('estimator__n_estimators', 574)])",0.725,0.75,0.725,0.675,0.5,0.575,0.55,0.7,0.75,0.625,0.6575,0.08518362518700409,7
16.878080558776855,3.223619186645015,0.31665494441986086,0.06651037363922671,4,gini,25,,48,4,9,0.42719756812593634,193,"OrderedDict([('estimator__bins', 4), ('estimator__criterion', 'gini'), ('estimator__max_depth', 25), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 48), ('estimator__min_samples_leaf', 4), ('estimator__min_samples_split', 9), ('estimator__min_subsequence_size', 0.42719756812593634), ('estimator__n_estimators', 193)])",0.7,0.7,0.775,0.7,0.525,0.75,0.65,0.75,0.8,0.625,0.6975,0.07701460900374682,1
34.03096535205841,6.508146889990419,1.1427919626235963,0.23240616216382703,8,gini,44,log2,29,3,5,0.4150025566473621,682,"OrderedDict([('estimator__bins', 8), ('estimator__criterion', 'gini'), ('estimator__max_depth', 44), ('estimator__max_features', 'log2'), ('estimator__max_leaf_nodes', 29), ('estimator__min_samples_leaf', 3), ('estimator__min_samples_split', 5), ('estimator__min_subsequence_size', 0.4150025566473621), ('estimator__n_estimators', 682)])",0.75,0.625,0.625,0.75,0.55,0.6,0.55,0.625,0.7,0.675,0.645,0.06873863542433759,8
28.241218209266663,5.120909007532508,1.074916458129883,0.2552979981152429,8,gini,12,log2,8,5,6,0.49548062494728795,649,"OrderedDict([('estimator__bins', 8), ('estimator__criterion', 'gini'), ('estimator__max_depth', 12), ('estimator__max_features', 'log2'), ('estimator__max_leaf_nodes', 8), ('estimator__min_samples_leaf', 5), ('estimator__min_samples_split', 6), ('estimator__min_subsequence_size', 0.49548062494728795), ('estimator__n_estimators', 649)])",0.725,0.625,0.625,0.625,0.525,0.625,0.45,0.675,0.7,0.625,0.62,0.07648529270389177,9
37.25087761878967,6.53587858320075,1.1886893272399903,0.200567140966543,6,gini,10,,27,1,7,0.8591715441607474,735,"OrderedDict([('estimator__bins', 6), ('estimator__criterion', 'gini'), ('estimator__max_depth', 10), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 27), ('estimator__min_samples_leaf', 1), ('estimator__min_samples_split', 7), ('estimator__min_subsequence_size', 0.8591715441607474), ('estimator__n_estimators', 735)])",0.75,0.7,0.725,0.675,0.625,0.725,0.525,0.75,0.8,0.65,0.6925,0.07420411039827915,3
72.41982481479644,13.001780871572713,1.3604810953140258,0.31361164289162297,3,entropy,14,,15,5,4,0.5616761772917782,962,"OrderedDict([('estimator__bins', 3), ('estimator__criterion', 'entropy'), ('estimator__max_depth', 14), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 15), ('estimator__min_samples_leaf', 5), ('estimator__min_samples_split', 4), ('estimator__min_subsequence_size', 0.5616761772917782), ('estimator__n_estimators', 962)])",0.725,0.725,0.625,0.725,0.675,0.675,0.55,0.7,0.75,0.7,0.685,0.0561248608016091,4
32.222952127456665,5.496447879235366,1.0565674304962158,0.21455788344780957,6,entropy,8,sqrt,18,1,8,0.527569151169786,681,"OrderedDict([('estimator__bins', 6), ('estimator__criterion', 'entropy'), ('estimator__max_depth', 8), ('estimator__max_features', 'sqrt'), ('estimator__max_leaf_nodes', 18), ('estimator__min_samples_leaf', 1), ('estimator__min_samples_split', 8), ('estimator__min_subsequence_size', 0.527569151169786), ('estimator__n_estimators', 681)])",0.75,0.675,0.675,0.75,0.525,0.625,0.525,0.7,0.725,0.7,0.6649999999999999,0.0784219357067906,5
33.81960053443909,5.8625142611592675,1.098397469520569,0.23895769216316232,10,entropy,30,log2,42,1,3,0.36619128730825923,670,"OrderedDict([('estimator__bins', 10), ('estimator__criterion', 'entropy'), ('estimator__max_depth', 30), ('estimator__max_features', 'log2'), ('estimator__max_leaf_nodes', 42), ('estimator__min_samples_leaf', 1), ('estimator__min_samples_split', 3), ('estimator__min_subsequence_size', 0.36619128730825923), ('estimator__n_estimators', 670)])",0.825,0.675,0.725,0.7,0.55,0.6,0.575,0.725,0.825,0.75,0.6950000000000001,0.0913783344124853,2
