mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__bootstrap,param_estimator__criterion,param_estimator__max_depth,param_estimator__max_features,param_estimator__max_leaf_nodes,param_estimator__min_samples_leaf,param_estimator__min_samples_split,param_estimator__min_window_size,param_estimator__n_estimators,param_estimator__n_windows,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
9.226256728172302,1.8103781984401688,0.8900885105133056,0.3000327509378925,False,gini,11,sqrt,33,3,10,0.15851572971388028,710,4,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'gini'), ('estimator__max_depth', 11), ('estimator__max_features', 'sqrt'), ('estimator__max_leaf_nodes', 33), ('estimator__min_samples_leaf', 3), ('estimator__min_samples_split', 10), ('estimator__min_window_size', 0.15851572971388028), ('estimator__n_estimators', 710), ('estimator__n_windows', 4)])",0.85,0.8,0.75,0.75,0.475,0.7,0.5,0.675,0.7,0.6,0.6799999999999999,0.116081867662439,3
7.3065900802612305,1.1657059896864885,0.353322434425354,0.06144896259488321,False,gini,21,,8,5,5,0.30557327047930644,585,2,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'gini'), ('estimator__max_depth', 21), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 8), ('estimator__min_samples_leaf', 5), ('estimator__min_samples_split', 5), ('estimator__min_window_size', 0.30557327047930644), ('estimator__n_estimators', 585), ('estimator__n_windows', 2)])",0.8,0.7,0.725,0.725,0.4,0.675,0.425,0.55,0.7,0.65,0.635,0.1265898890117216,5
6.158429408073426,1.015062250616857,0.3666843414306641,0.06548429661640832,False,gini,11,sqrt,44,4,7,0.43500012714778535,574,1,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'gini'), ('estimator__max_depth', 11), ('estimator__max_features', 'sqrt'), ('estimator__max_leaf_nodes', 44), ('estimator__min_samples_leaf', 4), ('estimator__min_samples_split', 7), ('estimator__min_window_size', 0.43500012714778535), ('estimator__n_estimators', 574), ('estimator__n_windows', 1)])",0.775,0.675,0.675,0.675,0.425,0.55,0.45,0.6,0.7,0.475,0.6000000000000001,0.11346805717910219,9
3.6288740634918213,0.6518204838026287,0.13389403820037843,0.03285698071326102,True,gini,25,,48,4,9,0.42719756812593634,193,3,"OrderedDict([('estimator__bootstrap', True), ('estimator__criterion', 'gini'), ('estimator__max_depth', 25), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 48), ('estimator__min_samples_leaf', 4), ('estimator__min_samples_split', 9), ('estimator__min_window_size', 0.42719756812593634), ('estimator__n_estimators', 193), ('estimator__n_windows', 3)])",0.85,0.775,0.725,0.775,0.5,0.65,0.55,0.675,0.7,0.675,0.6875,0.0995301461869719,1
7.99106764793396,1.4786314898581674,0.4757218599319458,0.09406869151756882,False,gini,44,log2,29,3,5,0.4150025566473621,682,1,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'gini'), ('estimator__max_depth', 44), ('estimator__max_features', 'log2'), ('estimator__max_leaf_nodes', 29), ('estimator__min_samples_leaf', 3), ('estimator__min_samples_split', 5), ('estimator__min_window_size', 0.4150025566473621), ('estimator__n_estimators', 682), ('estimator__n_windows', 1)])",0.75,0.675,0.675,0.475,0.475,0.55,0.425,0.525,0.7,0.475,0.5725,0.11036870027322059,10
7.427521872520447,1.3051213645179838,0.447284460067749,0.09337925746755049,False,gini,12,log2,8,5,6,0.49548062494728795,649,1,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'gini'), ('estimator__max_depth', 12), ('estimator__max_features', 'log2'), ('estimator__max_leaf_nodes', 8), ('estimator__min_samples_leaf', 5), ('estimator__min_samples_split', 6), ('estimator__min_window_size', 0.49548062494728795), ('estimator__n_estimators', 649), ('estimator__n_windows', 1)])",0.775,0.7,0.7,0.625,0.35,0.625,0.4,0.6,0.65,0.625,0.6050000000000001,0.1253993620398445,8
20.999445915222168,3.52828553284206,0.5016567707061768,0.10648097864544379,False,gini,10,,27,1,7,0.8591715441607474,735,5,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'gini'), ('estimator__max_depth', 10), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 27), ('estimator__min_samples_leaf', 1), ('estimator__min_samples_split', 7), ('estimator__min_window_size', 0.8591715441607474), ('estimator__n_estimators', 735), ('estimator__n_windows', 5)])",0.75,0.8,0.75,0.8,0.525,0.7,0.5,0.7,0.725,0.6,0.6849999999999999,0.10198039027185571,2
17.282169461250305,3.253570572185829,0.6985584020614624,0.14962972155301735,True,entropy,14,,15,5,4,0.5616761772917782,962,1,"OrderedDict([('estimator__bootstrap', True), ('estimator__criterion', 'entropy'), ('estimator__max_depth', 14), ('estimator__max_features', None), ('estimator__max_leaf_nodes', 15), ('estimator__min_samples_leaf', 5), ('estimator__min_samples_split', 4), ('estimator__min_window_size', 0.5616761772917782), ('estimator__n_estimators', 962), ('estimator__n_windows', 1)])",0.8,0.65,0.675,0.775,0.45,0.625,0.425,0.625,0.7,0.625,0.635,0.11467344941179715,5
10.197479820251464,1.8696457089934617,0.5313128709793091,0.11760087950515305,False,entropy,8,sqrt,18,1,8,0.527569151169786,681,2,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'entropy'), ('estimator__max_depth', 8), ('estimator__max_features', 'sqrt'), ('estimator__max_leaf_nodes', 18), ('estimator__min_samples_leaf', 1), ('estimator__min_samples_split', 8), ('estimator__min_window_size', 0.527569151169786), ('estimator__n_estimators', 681), ('estimator__n_windows', 2)])",0.825,0.75,0.725,0.65,0.5,0.65,0.475,0.725,0.675,0.675,0.6649999999999999,0.10198039027185568,4
8.775395822525024,1.569405378998607,0.47123525142669676,0.09713660914134208,False,entropy,30,log2,42,1,3,0.36619128730825923,670,1,"OrderedDict([('estimator__bootstrap', False), ('estimator__criterion', 'entropy'), ('estimator__max_depth', 30), ('estimator__max_features', 'log2'), ('estimator__max_leaf_nodes', 42), ('estimator__min_samples_leaf', 1), ('estimator__min_samples_split', 3), ('estimator__min_window_size', 0.36619128730825923), ('estimator__n_estimators', 670), ('estimator__n_windows', 1)])",0.75,0.7,0.725,0.65,0.45,0.625,0.475,0.475,0.675,0.55,0.6074999999999999,0.10609547586961472,7
