Session,TimeStep,TimeFocused,TimeDiverted,TimeDistracted,NumDiverted,NumDistracted,NumNotifs,AvgFriendsPerMin,FirstDistraction,FirstDiversion,Type
0,0,767,0,133,0,1,10,0.0,social,none,A
0,1,900,0,0,0,0,13,0.9295852169154912,none,none,A
0,2,900,0,0,0,0,2,1.0,none,none,A
0,3,900,0,0,0,0,5,0.0,none,none,A
0,4,900,0,0,0,0,12,0.0,none,none,A
1,0,875,25,0,1,0,10,0.0,none,timer,A
1,1,900,0,0,0,0,9,0.0,none,none,A
1,2,900,0,0,0,0,14,0.0,none,none,A
1,3,900,0,0,0,0,15,0.0,none,none,A
1,4,900,0,0,0,0,3,0.0,none,none,A
1,5,900,0,0,0,0,9,0.0,none,none,A
1,6,900,0,0,0,0,0,0.0,none,none,A
1,7,900,0,0,0,0,2,0.0,none,none,A
1,8,900,0,0,0,0,3,0.0,none,none,A
1,9,900,0,0,0,0,7,0.0,none,none,A
1,10,900,0,0,0,0,5,0.0,none,none,A
1,11,900,0,0,0,0,11,0.0,none,none,A
1,12,900,0,0,0,0,7,0.0,none,none,A
1,13,890,10,0,1,0,14,0.0,none,progress,A
2,0,881,19,0,1,0,11,0.0,none,timer,A
2,1,900,0,0,0,0,14,0.0,none,none,A
2,2,900,0,0,0,0,0,0.0,none,none,A
2,3,900,0,0,0,0,2,0.0,none,none,A
2,4,900,0,0,0,0,9,0.0,none,none,A
2,5,900,0,0,0,0,13,1.0,none,none,A
2,6,900,0,0,0,0,14,1.0,none,none,A
2,7,900,0,0,0,0,11,1.0,none,none,A
2,8,900,0,0,0,0,0,1.0,none,none,A
2,9,887,13,0,1,0,12,0.0,none,timer,A
3,0,900,0,0,0,0,7,0.0,none,none,A
3,1,900,0,0,0,0,4,0.0,none,none,A
3,2,900,0,0,0,0,6,0.0,none,none,A
3,3,900,0,0,0,0,15,0.0,none,none,A
4,0,708,29,163,1,1,13,0.0,social,timer,A
4,1,900,0,0,0,0,5,0.0,none,none,A
4,2,900,0,0,0,0,12,0.0,none,none,A
4,3,900,0,0,0,0,0,0.9134877866184052,none,none,A
4,4,900,0,0,0,0,10,1.0,none,none,A
4,5,639,0,261,0,1,3,1.0,social,none,A
4,6,900,0,0,0,0,2,1.0,none,none,A
4,7,900,0,0,0,0,0,1.0,none,none,A
4,8,900,0,0,0,0,7,1.0,none,none,A
4,9,900,0,0,0,0,8,1.0,none,none,A
4,10,876,0,24,0,1,5,1.0,social,none,A
4,11,900,0,0,0,0,3,1.0,none,none,A
4,12,900,0,0,0,0,0,1.0,none,none,A
4,13,900,0,0,0,0,0,1.0,none,none,A
4,14,900,0,0,0,0,10,1.0,none,none,A
4,15,865,0,35,0,1,4,1.0,social,none,A
5,0,685,24,191,1,1,0,0.0,social,progress,A
5,1,900,0,0,0,0,9,0.0,none,none,A
5,2,900,0,0,0,0,11,0.0,none,none,A
5,3,900,0,0,0,0,9,0.0,none,none,A
5,4,900,0,0,0,0,12,0.0,none,none,A
5,5,900,0,0,0,0,13,0.0,none,none,A
5,6,900,0,0,0,0,12,0.0,none,none,A
5,7,900,0,0,0,0,10,0.0,none,none,A
5,8,900,0,0,0,0,4,0.0,none,none,A
5,9,897,3,0,1,0,12,0.0,none,timer,A
6,0,837,24,39,1,1,8,0.0,social,progress,A
6,1,900,0,0,0,0,10,0.0,none,none,A
6,2,900,0,0,0,0,12,0.0,none,none,A
6,3,900,0,0,0,0,8,0.0,none,none,A
6,4,900,0,0,0,0,6,0.0,none,none,A
7,0,822,0,78,0,1,13,0.0,social,none,A
7,1,900,0,0,0,0,13,0.0,none,none,A
7,2,900,0,0,0,0,3,0.9309826172184051,none,none,A
7,3,900,0,0,0,0,11,1.0,none,none,A
7,4,900,0,0,0,0,10,1.0,none,none,A
7,5,659,0,241,0,1,6,1.0,social,none,A
7,6,900,0,0,0,0,14,1.0,none,none,A
7,7,900,0,0,0,0,8,1.0,none,none,A
7,8,900,0,0,0,0,1,1.0,none,none,A
7,9,900,0,0,0,0,8,1.0,none,none,A
7,10,638,0,262,0,1,14,1.0,social,none,A
7,11,900,0,0,0,0,1,1.0,none,none,A
7,12,900,0,0,0,0,11,1.0,none,none,A
7,13,900,0,0,0,0,9,1.0,none,none,A
7,14,900,0,0,0,0,0,1.0,none,none,A
